example_id                                                               | status | run_time        |
------------------------------------------------------------------------ | ------ | --------------- |
./spec/lib/active_data_flow/configuration_spec.rb[1:1:1]                 | passed | 0.00002 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:1:2]                 | passed | 0.00002 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:1:3]                 | passed | 0.00003 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:1:4]                 | passed | 0.00002 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:1:5]                 | passed | 0.00002 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:2:1:1]               | passed | 0.00003 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:2:1:2]               | passed | 0.00004 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:2:1:3]               | passed | 0.00051 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:2:2:1]               | passed | 0.0001 seconds  |
./spec/lib/active_data_flow/configuration_spec.rb[1:2:2:2]               | passed | 0.00005 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:3:1]                 | passed | 0.00002 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:3:2]                 | passed | 0.00002 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:3:3]                 | passed | 0.00002 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:4:1]                 | passed | 0.00002 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:4:2]                 | passed | 0.00003 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:4:3]                 | passed | 0.00002 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:5:1]                 | passed | 0.00002 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:5:2]                 | passed | 0.00003 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:5:3]                 | passed | 0.00003 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:6:1]                 | passed | 0.00002 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:6:2]                 | passed | 0.00002 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[1:6:3]                 | passed | 0.00002 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[2:1:1]                 | passed | 0.00026 seconds |
./spec/lib/active_data_flow/configuration_spec.rb[2:1:2]                 | passed | 0.00041 seconds |
